latitude,longitude,_id,deviceId,altitude,speed,course,battery,isCollecting,timestamp,createdAt,updatedAt,__v
,,,,,,,,,,,,
51.13068,71.4575,d0a7611aae4b8e359a387953,DRIVER-001,370.1,8.36689,314.78,100,TRUE,2025-10-04T08:23:00.000Z,2025-10-04T08:23:00.000Z,2025-10-04T08:23:00.000Z,0
51.13069,71.45748,a28de44ce4ebe47a7c6e14f1,DRIVER-001,368,9.47843,233.35,100,TRUE,2025-10-04T08:23:05.000Z,2025-10-04T08:23:05.000Z,2025-10-04T08:23:05.000Z,0
51.13066,71.45741,9abe4ca498ac36b5eebb5faf,DRIVER-001,363.6,7.99471,226,100,TRUE,2025-10-04T08:23:10.000Z,2025-10-04T08:23:10.000Z,2025-10-04T08:23:10.000Z,0
51.1306,71.45732,098b423d023b384cf36156cb,DRIVER-001,347.8,8.69351,272.87,100,TRUE,2025-10-04T08:23:15.000Z,2025-10-04T08:23:15.000Z,2025-10-04T08:23:15.000Z,0
51.13061,71.45728,54aef3869f2ba8266de69651,DRIVER-001,345.5,6.04455,221.47,100,TRUE,2025-10-04T08:23:20.000Z,2025-10-04T08:23:20.000Z,2025-10-04T08:23:20.000Z,0
51.13052,71.45716,4c884ac5e2978c7c3de35f3f,DRIVER-001,349.7,7.10679,229.37,100,TRUE,2025-10-04T08:23:25.000Z,2025-10-04T08:23:25.000Z,2025-10-04T08:23:25.000Z,0
51.13048,71.45708,86ce49b2de0ce1af64357d86,DRIVER-001,351.8,5.26104,236.91,100,TRUE,2025-10-04T08:23:30.000Z,2025-10-04T08:23:30.000Z,2025-10-04T08:23:30.000Z,0
51.13045,71.45702,2a16fc6afc35d3bb8ae9ba10,DRIVER-001,374.4,8.52077,308.06,99,TRUE,2025-10-04T08:23:35.000Z,2025-10-04T08:23:35.000Z,2025-10-04T08:23:35.000Z,0
51.13046,71.457,b7d1e182251e5625f3333ff7,DRIVER-001,371.4,5.7823,244.77,99,TRUE,2025-10-04T08:23:40.000Z,2025-10-04T08:23:40.000Z,2025-10-04T08:23:40.000Z,0
51.13045,71.45695,1500e35d02858f9dcecb9c76,DRIVER-001,363.2,5.8569,221.04,99,TRUE,2025-10-04T08:23:45.000Z,2025-10-04T08:23:45.000Z,2025-10-04T08:23:45.000Z,0
51.13036,71.45682,e2253651074c8d3dd725e191,DRIVER-001,371.4,7.52827,224.08,99,TRUE,2025-10-04T08:23:50.000Z,2025-10-04T08:23:50.000Z,2025-10-04T08:23:50.000Z,0
51.13029,71.45672,af525064c7ee904beedf8208,DRIVER-001,369.5,8.9537,250.22,99,TRUE,2025-10-04T08:23:55.000Z,2025-10-04T08:23:55.000Z,2025-10-04T08:23:55.000Z,0
51.13028,71.45667,247179b412508024e1bee7b9,DRIVER-001,363.9,9.75002,225.08,99,TRUE,2025-10-04T08:24:00.000Z,2025-10-04T08:24:00.000Z,2025-10-04T08:24:00.000Z,0
51.13022,71.45658,b3085979369fc305d83cf179,DRIVER-001,357.1,9.60838,301.95,99,TRUE,2025-10-04T08:24:05.000Z,2025-10-04T08:24:05.000Z,2025-10-04T08:24:05.000Z,0
51.13023,71.45655,d0fbc0817b178d82734f15a8,DRIVER-001,375.3,9.63048,229.28,98,TRUE,2025-10-04T08:24:10.000Z,2025-10-04T08:24:10.000Z,2025-10-04T08:24:10.000Z,0
51.13019,71.45647,e5283f2c21705ce09b6021c0,DRIVER-001,358,5.92884,222.56,98,TRUE,2025-10-04T08:24:15.000Z,2025-10-04T08:24:15.000Z,2025-10-04T08:24:15.000Z,0
51.13011,71.45636,d5ceb690513b49d209f1e9d9,DRIVER-001,378.4,9.18821,342.58,98,TRUE,2025-10-04T08:24:20.000Z,2025-10-04T08:24:20.000Z,2025-10-04T08:24:20.000Z,0
51.13014,71.45635,8a84ac14a8635afc52e0a8ce,DRIVER-001,372.4,5.83933,226.38,98,TRUE,2025-10-04T08:24:25.000Z,2025-10-04T08:24:25.000Z,2025-10-04T08:24:25.000Z,0
51.13008,71.45626,477d88bb1dad7814809ffeb0,DRIVER-001,368.3,6.48501,244.6,98,TRUE,2025-10-04T08:24:30.000Z,2025-10-04T08:24:30.000Z,2025-10-04T08:24:30.000Z,0
51.13007,71.45621,b9dcb697caf4dd70aa75988f,DRIVER-001,364.8,8.63584,224.9,98,TRUE,2025-10-04T08:24:35.000Z,2025-10-04T08:24:35.000Z,2025-10-04T08:24:35.000Z,0
51.13001,71.45611,cbe506605c181d488f8aa347,DRIVER-001,341.6,6.95075,226.29,98,TRUE,2025-10-04T08:24:40.000Z,2025-10-04T08:24:40.000Z,2025-10-04T08:24:40.000Z,0
51.12995,71.45602,f01146898bcc75889722664c,DRIVER-001,357.3,7.77174,241.99,97,TRUE,2025-10-04T08:24:45.000Z,2025-10-04T08:24:45.000Z,2025-10-04T08:24:45.000Z,0
51.12994,71.45597,25218cdab87876f1ce50bba5,DRIVER-001,342,9.67159,224.84,97,TRUE,2025-10-04T08:24:50.000Z,2025-10-04T08:24:50.000Z,2025-10-04T08:24:50.000Z,0
51.12987,71.45587,01edb64d0685cabd126a4f1d,DRIVER-001,366.2,5.26355,285.39,97,TRUE,2025-10-04T08:24:55.000Z,2025-10-04T08:24:55.000Z,2025-10-04T08:24:55.000Z,0
51.12988,71.45584,be192e2cfa402168f42950ee,DRIVER-001,361.4,6.94885,246.99,97,TRUE,2025-10-04T08:25:00.000Z,2025-10-04T08:25:00.000Z,2025-10-04T08:25:00.000Z,0
51.12987,71.45579,92dba0858dc70fd43fa16abe,DRIVER-001,362.6,9.52012,225.56,97,TRUE,2025-10-04T08:25:05.000Z,2025-10-04T08:25:05.000Z,2025-10-04T08:25:05.000Z,0
51.12981,71.4557,1f07947c0a4d5bb57143908d,DRIVER-001,374.1,5.21305,262.03,97,TRUE,2025-10-04T08:25:10.000Z,2025-10-04T08:25:10.000Z,2025-10-04T08:25:10.000Z,0
51.12981,71.45566,6abfb4606cfbace0b231b025,DRIVER-001,364.5,5.09788,220.85,97,TRUE,2025-10-04T08:25:15.000Z,2025-10-04T08:25:15.000Z,2025-10-04T08:25:15.000Z,0
51.12971,71.45553,3e00179a4e99629d0c9fb1f6,DRIVER-001,377.8,8.42926,306.05,96,TRUE,2025-10-04T08:25:20.000Z,2025-10-04T08:25:20.000Z,2025-10-04T08:25:20.000Z,0
51.12972,71.45551,927a4640f46407fe5180840b,DRIVER-001,351.6,5.72252,268.04,96,TRUE,2025-10-04T08:25:25.000Z,2025-10-04T08:25:25.000Z,2025-10-04T08:25:25.000Z,0
51.12972,71.45547,fdcc0582ca8d9f2b09007d5e,DRIVER-001,340.3,8.62448,219.8,96,TRUE,2025-10-04T08:25:30.000Z,2025-10-04T08:25:30.000Z,2025-10-04T08:25:30.000Z,0
51.12961,71.45533,a54c18cd4841b7147073c11c,DRIVER-001,363.5,6.68207,2.8,96,TRUE,2025-10-04T08:25:35.000Z,2025-10-04T08:25:35.000Z,2025-10-04T08:25:35.000Z,0
51.12965,71.45533,1dcb0c78e3b35d803239911f,DRIVER-001,347.8,6.87884,221.61,96,TRUE,2025-10-04T08:25:40.000Z,2025-10-04T08:25:40.000Z,2025-10-04T08:25:40.000Z,0
51.12957,71.45521,b7621fb25bba847febfc3dce,DRIVER-001,344.6,6.6842,266.41,96,TRUE,2025-10-04T08:25:45.000Z,2025-10-04T08:25:45.000Z,2025-10-04T08:25:45.000Z,0
51.12956,71.45517,203dcb091ab1d9d6a359ac44,DRIVER-001,349.8,5.5033,221.26,96,TRUE,2025-10-04T08:25:50.000Z,2025-10-04T08:25:50.000Z,2025-10-04T08:25:50.000Z,0
51.12947,71.45505,45296a7908d6ede5d13d66a2,DRIVER-001,379.8,9.43561,278.01,95,TRUE,2025-10-04T08:25:55.000Z,2025-10-04T08:25:55.000Z,2025-10-04T08:25:55.000Z,0
51.12948,71.45501,78dc9525034ceba34fa5e227,DRIVER-001,354.6,9.26596,229.31,95,TRUE,2025-10-04T08:26:00.000Z,2025-10-04T08:26:00.000Z,2025-10-04T08:26:00.000Z,0
51.12944,71.45493,41a053a12486e16281e41323,DRIVER-001,372.9,8.98618,308,95,TRUE,2025-10-04T08:26:05.000Z,2025-10-04T08:26:05.000Z,2025-10-04T08:26:05.000Z,0
51.12945,71.45491,f562b7f98e008651fad90e60,DRIVER-001,348.9,7.00055,224.77,95,TRUE,2025-10-04T08:26:10.000Z,2025-10-04T08:26:10.000Z,2025-10-04T08:26:10.000Z,0
51.12939,71.45481,dbcda1173312abc17f028c29,DRIVER-001,350.9,8.10561,222.12,95,TRUE,2025-10-04T08:26:15.000Z,2025-10-04T08:26:15.000Z,2025-10-04T08:26:15.000Z,0
51.1293,71.4547,cb48ca2edbb7ecd998faaf5b,DRIVER-001,373.6,5.25109,228.14,95,TRUE,2025-10-04T08:26:20.000Z,2025-10-04T08:26:20.000Z,2025-10-04T08:26:20.000Z,0
51.12926,71.45462,0d15ebe83d6d3c3f5730dc30,DRIVER-001,346,8.99097,13.07,95,TRUE,2025-10-04T08:26:25.000Z,2025-10-04T08:26:25.000Z,2025-10-04T08:26:25.000Z,0
51.12932,71.45464,66e6cfa4def42e667d00ef92,DRIVER-001,344.5,5.22562,225.86,94,TRUE,2025-10-04T08:26:30.000Z,2025-10-04T08:26:30.000Z,2025-10-04T08:26:30.000Z,0
51.12926,71.45455,03c689911271a41cbd5bea5d,DRIVER-001,345.8,5.26081,226.63,94,TRUE,2025-10-04T08:26:35.000Z,2025-10-04T08:26:35.000Z,2025-10-04T08:26:35.000Z,0
51.12921,71.45446,ed19e431808398dcd15a5734,DRIVER-001,374.2,8.74213,239.69,94,TRUE,2025-10-04T08:26:40.000Z,2025-10-04T08:26:40.000Z,2025-10-04T08:26:40.000Z,0
51.12919,71.4544,8ea8844eeac2301287818d12,DRIVER-001,367.5,7.92388,244.22,94,TRUE,2025-10-04T08:26:45.000Z,2025-10-04T08:26:45.000Z,2025-10-04T08:26:45.000Z,0
51.12917,71.45435,7c82f351a2a6f10c6b238f31,DRIVER-001,345.2,7.52577,226.26,94,TRUE,2025-10-04T08:26:50.000Z,2025-10-04T08:26:50.000Z,2025-10-04T08:26:50.000Z,0
51.12912,71.45426,ff5a1c3a6350a2b5a4a1d0df,DRIVER-001,367.7,9.69218,224.12,94,TRUE,2025-10-04T08:26:55.000Z,2025-10-04T08:26:55.000Z,2025-10-04T08:26:55.000Z,0
51.12905,71.45416,515406c2c76ca3e1c939c6f3,DRIVER-001,343.6,9.24004,224.98,93,TRUE,2025-10-04T08:27:00.000Z,2025-10-04T08:27:00.000Z,2025-10-04T08:27:00.000Z,0
51.12899,71.45406,a4c0f55039e36c9cd860bf2d,DRIVER-001,355.7,7.87678,233.29,93,TRUE,2025-10-04T08:27:05.000Z,2025-10-04T08:27:05.000Z,2025-10-04T08:27:05.000Z,0
51.12896,71.454,2d4c3ad8412c6503f1487aa0,DRIVER-001,366.9,9.7362,250.35,93,TRUE,2025-10-04T08:27:10.000Z,2025-10-04T08:27:10.000Z,2025-10-04T08:27:10.000Z,0
51.12895,71.45395,312104623e747ca42abc8d6c,DRIVER-001,347.3,7.73829,227.22,93,TRUE,2025-10-04T08:27:15.000Z,2025-10-04T08:27:15.000Z,2025-10-04T08:27:15.000Z,0
51.1289,71.45387,2a5d87656a7c3e569f35ed40,DRIVER-001,355.3,5.91164,347.84,93,TRUE,2025-10-04T08:27:20.000Z,2025-10-04T08:27:20.000Z,2025-10-04T08:27:20.000Z,0
51.12893,71.45386,b7522424a6893e5e49035de0,DRIVER-001,367.4,7.57283,221.05,93,TRUE,2025-10-04T08:27:25.000Z,2025-10-04T08:27:25.000Z,2025-10-04T08:27:25.000Z,0
51.12884,71.45373,b276655f09fdc45ef5f68ea9,DRIVER-001,365.8,9.53038,259.43,93,TRUE,2025-10-04T08:27:30.000Z,2025-10-04T08:27:30.000Z,2025-10-04T08:27:30.000Z,0
51.12883,71.45369,435ab321e5e8b6b082d457a0,DRIVER-001,350.8,6.87791,229.43,92,TRUE,2025-10-04T08:27:35.000Z,2025-10-04T08:27:35.000Z,2025-10-04T08:27:35.000Z,0
51.12879,71.45361,adafb132f5257e6cb6fbdb3a,DRIVER-001,364.4,8.33869,232.91,92,TRUE,2025-10-04T08:27:40.000Z,2025-10-04T08:27:40.000Z,2025-10-04T08:27:40.000Z,0
51.12876,71.45354,4b7964d0a334d3c859870078,DRIVER-001,367.6,7.51853,223.94,92,TRUE,2025-10-04T08:27:45.000Z,2025-10-04T08:27:45.000Z,2025-10-04T08:27:45.000Z,0
51.12869,71.45344,85ba573c2a108aa82990a191,DRIVER-001,371.7,8.02988,6.9,92,TRUE,2025-10-04T08:27:50.000Z,2025-10-04T08:27:50.000Z,2025-10-04T08:27:50.000Z,0
51.12873,71.45345,b5020f0d59c83d9b6cc75937,DRIVER-001,370.8,8.62801,224.62,92,TRUE,2025-10-04T08:27:55.000Z,2025-10-04T08:27:55.000Z,2025-10-04T08:27:55.000Z,0
51.12867,71.45335,f3a72f39619f4674d737c0a5,DRIVER-001,361.9,7.69752,230.44,92,TRUE,2025-10-04T08:28:00.000Z,2025-10-04T08:28:00.000Z,2025-10-04T08:28:00.000Z,0
51.12863,71.45328,77dc25963c4eabc146efbc77,DRIVER-001,353.7,9.82718,224.06,92,TRUE,2025-10-04T08:28:05.000Z,2025-10-04T08:28:05.000Z,2025-10-04T08:28:05.000Z,0
51.12857,71.45318,1bdd62d2bebfb1861a8f6180,DRIVER-001,345.6,8.73997,225.79,91,TRUE,2025-10-04T08:28:10.000Z,2025-10-04T08:28:10.000Z,2025-10-04T08:28:10.000Z,0
51.12851,71.45308,18a7ec9e334c8cf322162b18,DRIVER-001,353.8,7.60098,255.94,91,TRUE,2025-10-04T08:28:15.000Z,2025-10-04T08:28:15.000Z,2025-10-04T08:28:15.000Z,0
51.12851,71.45304,5d904dfba8a0ad3e4c0c2e75,DRIVER-001,364.4,9.81536,261.59,91,TRUE,2025-10-04T08:28:20.000Z,2025-10-04T08:28:20.000Z,2025-10-04T08:28:20.000Z,0
51.1285,71.453,a746b4db7baa6bed9aefec9a,DRIVER-001,363.4,8.3543,224.2,91,TRUE,2025-10-04T08:28:25.000Z,2025-10-04T08:28:25.000Z,2025-10-04T08:28:25.000Z,0
51.12844,71.4529,67c82831dce3cbf7520c6f4a,DRIVER-001,357.2,9.35858,263.91,91,TRUE,2025-10-04T08:28:30.000Z,2025-10-04T08:28:30.000Z,2025-10-04T08:28:30.000Z,0
51.12843,71.45286,85507adccfdbbe0f7bb6d8e1,DRIVER-001,347.4,6.92077,221.92,91,TRUE,2025-10-04T08:28:35.000Z,2025-10-04T08:28:35.000Z,2025-10-04T08:28:35.000Z,0
51.12835,71.45274,98bb24b4efd804339d8ed79a,DRIVER-001,355.5,5.05986,275.5,91,TRUE,2025-10-04T08:28:40.000Z,2025-10-04T08:28:40.000Z,2025-10-04T08:28:40.000Z,0
